epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2
29,281.725,0.71415,0.82944,0.5627,0.93398,0,0.94536,0.86506,0.89293,0.68934,0.94096,0.83333,0.84623,0.527,0.38171,0.67541,1.55594,0.47703,0,0.001076,0.001076,0.001076
30,290.471,0.63344,0.88101,0.50781,0.90721,0,0.95972,0.88333,0.9065,0.70101,0.92702,0.84686,0.84111,0.53474,0.34599,0.65278,0.87351,0.45907,0,0.001043,0.001043,0.001043
31,299.528,0.65205,0.76603,0.51033,0.87872,0,0.98201,0.90998,0.91971,0.70514,0.98142,0.88035,0.88281,0.52889,0.3549,0.6468,0.60533,0.45956,0,0.00101,0.00101,0.00101
32,308.366,0.65604,0.80626,0.53407,0.88593,0,1,0.88193,0.90541,0.69164,0.97529,0.85,0.86893,0.54491,0.35576,0.59066,0.5937,0.4639,0,0.000977,0.000977,0.000977
33,317.802,0.5931,0.7662,0.48222,0.87983,0,1,0.89701,0.92092,0.72677,0.96284,0.86375,0.88224,0.60683,0.33358,0.55221,0.59156,0.45902,0,0.000944,0.000944,0.000944
34,327.086,0.59634,0.66049,0.46496,0.88145,0,0.96012,0.88333,0.91356,0.72555,0.92369,0.85,0.87679,0.59111,0.33698,0.61038,0.44529,0.45588,0,0.000911,0.000911,0.000911
35,336.058,0.55152,0.70398,0.45546,0.86367,0,0.92818,0.86158,0.89946,0.71961,0.9419,0.8107,0.84986,0.56144,0.32688,0.6693,0.73736,0.46451,0,0.000878,0.000878,0.000878
36,345.664,0.60527,0.73171,0.47132,0.86467,0,0.92816,0.86144,0.88613,0.71361,0.942,0.81207,0.83142,0.56168,0.31772,0.67696,0.61915,0.46113,0,0.000845,0.000845,0.000845
37,354.631,0.60392,0.71453,0.47262,0.87981,0,0.89755,0.9,0.88965,0.72,0.90831,0.83333,0.82623,0.55722,0.31016,0.6523,0.34777,0.45502,0,0.000812,0.000812,0.000812
38,364.296,0.5745,0.72057,0.45513,0.87453,0,0.91683,0.86667,0.90027,0.72966,0.84603,0.8,0.82165,0.52143,0.31215,0.73915,0.32562,0.45552,0,0.000779,0.000779,0.000779
39,373.976,0.54967,0.72297,0.46227,0.86696,0,0.90559,0.86667,0.88522,0.71213,0.88868,0.78333,0.82235,0.49786,0.31953,0.74257,0.34756,0.45973,0,0.000746,0.000746,0.000746
40,383.084,0.56591,0.68974,0.45363,0.88614,0,0.89614,0.86667,0.86264,0.68424,0.90521,0.81667,0.81341,0.50788,0.32779,0.70035,0.3809,0.46215,0,0.000713,0.000713,0.000713
41,392.082,0.55196,0.68898,0.42334,0.8765,0,0.9107,0.8499,0.86406,0.71159,0.9107,0.8499,0.85445,0.55112,0.32565,0.66031,0.59082,0.45712,0,0.00068,0.00068,0.00068
42,401.191,0.53888,0.67797,0.43287,0.85773,0,0.96203,0.84473,0.90685,0.73,0.96203,0.84473,0.87268,0.57591,0.32685,0.6706,0.45829,0.45757,0,0.000647,0.000647,0.000647
43,410.243,0.52423,0.70349,0.42247,0.87095,0,0.9417,0.86667,0.8924,0.71574,0.97082,0.83333,0.87974,0.5563,0.33653,0.6744,0.38811,0.46817,0,0.000614,0.000614,0.000614
44,419.075,0.55437,0.97101,0.43332,0.8602,0,0.98147,0.88271,0.91298,0.71125,1,0.81607,0.86446,0.51371,0.3394,0.6603,0.33597,0.46842,0,0.000581,0.000581,0.000581
45,428.27,0.5333,0.6992,0.42157,0.84828,0,0.95983,0.88333,0.91399,0.71873,0.95766,0.8,0.83109,0.51418,0.33972,0.67789,0.30571,0.4682,0,0.000548,0.000548,0.000548
46,438.18,0.52846,0.65875,0.42435,0.87199,0,0.96123,0.9,0.91075,0.73592,0.90692,0.85,0.85031,0.52602,0.32324,0.68651,0.25996,0.4634,0,0.000515,0.000515,0.000515
47,447.775,0.5155,0.65616,0.4064,0.8647,0,0.96382,0.88801,0.91075,0.73481,0.94312,0.82903,0.85242,0.54521,0.32199,0.6961,0.25585,0.46232,0,0.000482,0.000482,0.000482
48,457.331,0.52053,0.61967,0.39777,0.85137,0,0.96665,0.86667,0.90887,0.74087,0.93932,0.83333,0.85245,0.5402,0.31571,0.69337,0.25395,0.46107,0,0.000449,0.000449,0.000449
