epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2
1,22.446,0.97393,1.34338,2.94433,0.96671,0,0.00784,0.88889,0.40856,0.3067,0.00804,0.91111,0.42163,0.33084,0.4227,0.58733,3.5881,0.41246,0,0.000611111,0.000611111,0.000611111
2,31.1711,0.95469,1.25779,2.14349,0.9186,0,0.00784,0.88889,0.38021,0.23259,0.00804,0.91111,0.36957,0.2113,0.47718,1.00019,3.69255,0.43575,0,0.00125669,0.00125669,0.00125669
3,39.2804,1.04627,1.68146,1.73591,0.99974,0,0.00765,0.86667,0.33083,0.21044,0.00784,0.88889,0.34652,0.24696,0.55447,1.01552,3.80716,0.48065,0,0.00188028,0.00188028,0.00188028
